lb,ub,real cnt,guessed cnt
0,0,29849,24251
1,24,0,177
25,195,6,66
196,586,2,26
587,635,34,164
636,977,8,44
978,1075,30,168
1076,1367,16,28
1368,1562,33,67
1563,1807,8,29
1808,1905,13,121
1906,2148,23,63
2149,2185,71,176
2186,2295,26,52
2296,2343,6,127
2344,2441,45,74
2442,2478,11,181
2479,2588,13,72
2589,2637,31,105
2638,2808,5,49
2809,2832,31,121
2833,2978,58,68
2979,3100,2,50
3101,3124,97,237
3125,3173,37,201
3174,3320,6,48
3321,3369,53,216
3370,3467,58,116
3468,3711,22,29
3712,3906,25,47
3907,3955,46,127
3956,4053,0,52
4054,4102,62,188
4103,4346,0,29
4347,4395,70,162
4396,4639,24,63
4640,4687,44,190
4688,4834,23,51
4835,5006,25,49
5007,5030,69,170
5031,5176,1,48
5177,5201,97,252
5202,5468,11,64
5469,6249,9,10
6250,6836,35,39
6837,6934,27,116
6935,7227,0,45
7228,7295,0,77
7296,7325,246,329
7326,7666,14,61
7667,7691,284,340
7692,7812,0,33
7813,8593,4,10
8594,8642,55,181
8643,8984,0,61
8985,9472,22,26
9473,9570,4,74
9571,10156,0,24
10157,10303,0,31
10304,10499,0,47
10500,10547,43,193
10548,10937,18,11
10938,12499,2,8
12500,13281,0,10
13282,13477,0,67
13478,13672,27,67
13673,14062,0,26
14063,14087,41,231
14088,14258,0,49
14259,14356,26,74
14357,14843,0,26
14844,15015,0,49
15016,15039,352,367
15040,15624,0,39
15625,18749,8,6
18750,19531,0,10
19532,19776,0,29
19777,20020,0,46
20021,20069,37,186
20070,20312,0,29
20313,21874,0,8
21875,24999,1,6
25000,26562,15,8
26563,27343,0,10
27344,27783,0,27
27784,27832,34,190
27833,28124,0,28
28125,31249,0,6
31250,37499,5,5
37500,49999,2,3
50000,74999,0,1
75000,87499,0,3
87500,93749,0,5
93750,96874,0,6
96875,98437,0,8
98438,98828,0,26
98829,99218,0,11
99219,99804,0,24
99805,99975,0,49
99976,99999,159,291
