lb,ub,real cnt,guessed cnt
19826,19922,0,18
19923,20020,0,18
20021,20045,0,22
20046,20047,0,31
20048,20048,0,31
20049,20050,0,31
20051,20051,37,37
20052,20057,0,26
20058,20063,0,26
20064,20069,0,26
20070,20117,0,20
20118,20312,0,16
20313,21874,0,10
21875,24999,1,8
25000,26562,15,10
26563,27343,0,12
27344,27734,0,14
27735,27783,0,20
27784,27808,0,22
27809,27820,0,24
27821,27826,0,26
27827,27828,34,31
27829,27829,0,31
27830,27830,0,33
27831,27831,0,33
27832,27832,0,33
27833,27929,0,18
27930,28124,0,16
28125,31249,0,8
31250,37499,5,6
37500,49999,2,4
50000,74999,0,2
75000,87499,0,4
87500,93749,0,6
93750,96874,0,8
96875,98437,0,10
98438,98633,0,16
98634,98828,0,16
98829,99218,0,14
99219,99609,0,14
99610,99804,0,16
99805,99902,0,18
99903,99951,0,20
99952,99975,0,22
99976,99981,0,26
99982,99984,0,29
99985,99986,0,31
99987,99987,0,31
99988,99993,0,26
99994,99996,0,29
99997,99998,0,31
99999,99999,159,157
